name,category,phone,kategorija,opis,grad,description,Instagram
Dzoli company,painter,067 305 270,moler,KREČENJE - MOLERSKI RADOV,Crna Gora,,
A&R Moler krecenje,painter,066 133 740,moler,"Krečenje - farbanje - gletovanje - postavljanje tapeta - dekorativne tehnike - čišćenje, demit fasade",Crna Gora,,
miki design,painter,063 487 403,moler,"Dekorativni radovi, gletovanje, krečenje, molerske usluge, adaptacija, gipsarski radovi, demit fasade, stiropol fasade",Podgorica,,
DAZMONT,painter,068 007 110,moler,Moleraj,Podgorica,,
M&FIK,painter,069 609 171,moler,MOLERSKE USLUGE - GLETOVANJE - FARBANJE - DEKORATIVNE TEHNIKE - DEMIT FASADE,Podgorica,,
Molerski radovi 2,painter,067 016 109 / 069 720 808,moler,"MOLERAJ, KRECENJE, FARBANJE, GLETOVANJE",Podgorica,,
Darko,painter,067 482 372,moler,"Radim uglavnom krečenje stanova, decorative tehnike i demit fasade",Podgorica,,
Moler bato,painter,069 848 747,moler,,Budva Tivat Kotor,,
Molerski radovi 3,painter,69 720 808,moler,,Budva ,,
Molerski radovi 4,painter,068 074 170,moler,"Izrada fasada, gipsni radovi, gletovanje, dekorativne tehnike",Podgorica,,
Molerski radovi dekoracije,painter,068 364 234,moler,"Dekorativne tehnike, molerski radovi, gipsani radovi",Podgorica,,
Molerski radovi 5,painter,,moler,,Crna Gora,,https://instagram.com/molerski_radovi_10?igshid=MTIyMzRjYmRlZg==
Molerski radovi,painter,068 404 565,moler,,Crna Gora,,https://instagram.com/molerski.radovi?igshid=MTIyMzRjYmRlZg==
MIX-M ,painter,067 727 420,moler,,Podgorica,,https://instagram.com/molerski_radovi.dekoracije?igshid=MTIyMzRjYmRlZg==
Molerski radovi 6,painter,068 064 366,moler,,Tivat,,https://instagram.com/molerskiradovi_cg?igshid=MTIyMzRjYmRlZg==
Molerski radovi Bobo,painter,067 779 591,moler,,Podgorica,,https://instagram.com/molerski_radovi_bobo?igshid=MTIyMzRjYmRlZg==
Molerski radovi EMS,painter,068 434 459,moler,,Podgorica,,https://instagram.com/molerski_radovi_ems?igshid=MTIyMzRjYmRlZg==
Molerski radovi Mne,painter,068 605 081,moler,,Podgorica,,https://instagram.com/molerskiradovimne_podgorica?igshid=MTIyMzRjYmRlZg==
Molerski radovi Budva,painter,,moler,,Budva,,https://instagram.com/molerski.radovi_bu2?igshid=MTIyMzRjYmRlZg==
Molerski radovi 7,painter,069 770 435,moler,,Tivat,,https://instagram.com/adaptacija_objekata_cg?igshid=MTIyMzRjYmRlZg==
Molerski radovi Niksic,painter,,moler,,Niksic,,https://instagram.com/molerskiradoviniksic?igshid=MTIyMzRjYmRlZg==
Darjan,painter,,moler,,Podgorica,,https://instagram.com/molerski_i_gipsarski_radovi?igshid=MTIyMzRjYmRlZg==
Rajmond,painter,069 885 762,moler,,Podgorica,,
Tamara,painter,069 818 625,moler,,Podgorica,,
Molerski radovi,painter,067 686 239,moler,,Podgorica,,
Ivan,painter,068 059 892,moler,,Tivat,,
Markovic,painter,068 625 808,moler,,Podgorica,,
NB colors bojanic,painter,068 105 121,moler,,Niksic,,
 Molerski radovi 8,painter,069 490 204,moler,,Niksic,,
Molerski radovi 9,painter,069 345 067,moler,,Niksic,,
,,,,,,,
Ksenija,cleaning,069 388 650,cistacica,,Budva,,
Crystal clean,cleaning,069 785 835,cistacica,,Podgorica,,
Cleanex,cleaning,067 661 662,cistacica,,Crna Gora,,
,,,,,,,
Rehald,carpenter,068 036 933,stolar,,Crna Gora,,
Polimlje,carpenter,051 235 257,stolar,,Crna Gora,,
,,,,,,,
ANĐELA FRIZERSKI SALON ANGEL,hairdresser,069 471 281,frizerski,,Budva,,
Lucija,"hairdresser, cosmetics",068 553 707,"frizerski, kozmeticki",,Budva,,
,,,,,,,
INekretinie,realestate,020 235 651,nekretnine,https://www.inekretnine.me/naslovna,Crna Gora,,
fresh real estate,fresh real estate,069 223 514,nekretnine,https://crnagoranekretnine.me/,Crna Gora,,
,,,,,,,
tvoj bastovan,gardner,,bastovan,https://tvojbastovan.com/,Crna Gora,,
Bastovan,gardner,068 537 049,bastovan,,,,
,,,,,,,
,,,,,,,
1,mooving,068 841 481,selidbe,,Crna Gora,,
2,mooving,067 541 095,selidbe,,Crna Gora,,
,,,,,,,
Grupa gradnja,Contruction company,067 882 403,Gradjevinska kompanija,,Crna Gora,,
,,,,,,,
 Moler 10,Painter,067 882 403,moler,"regips, krecenje, gletovanje",Crna Gora,,
,,,,,,,
Renovation company,Renovation apartment,067 882 403,Renoviranje apartmana,,Crna Gora,,
Plumber1,Plumber,069 066 246\068 882 504,Vodoinstalater,,Crna Gora,,
Construcion company,Construcion company,069 952 517,Gradjevinska kompanija,,Podgorica,,
Electrician1,Electrician,069 661 755,Elektricar,ugradnja i zamjena elektro instalacija,Crna Gora,,
Electrician2,Electrician,069 894 383,Elektricar,ugradnja i zamjena elektro instalacija,Crna Gora,,
